case_id,case_name,case_type,region,period_start,period_end,time_window_years,phase_label,collapse_outcome,collapse_within_next_window,political_fragmentation,elite_conflict,succession_crisis,legitimacy_crisis,administrative_overload,corruption_governance_failure,social_inequality,social_unrest_rebellion,demographic_pressure,migration_pressure,ethnic_sectarian_fragmentation,urban_decline,fiscal_crisis,taxation_extraction_pressure,trade_disruption,inflation_currency_instability,resource_dependency,agricultural_decline,drought_climate_stress,flood_environmental_shock,temperature_anomaly,ecological_degradation,food_insecurity,external_invasion_pressure,civil_war_internal_conflict,military_overstretch,territorial_loss,institutional_rigidity,adaptive_capacity,logistics_food_storage_resilience,alliance_network_strength,recovery_capacity,data_confidence,source_count,notes
ming_qing_1550_1575,Ming/Qing Transition,premodern,East Asia,1550,1575,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ming_qing_1575_1600,Ming/Qing Transition,premodern,East Asia,1575,1600,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ming_qing_1600_1625,Ming/Qing Transition,premodern,East Asia,1600,1625,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ming_qing_1625_1650,Ming/Qing Transition,premodern,East Asia,1625,1650,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ming_qing_1650_1675,Ming/Qing Transition,premodern,East Asia,1650,1675,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ming_qing_1675_1700,Ming/Qing Transition,premodern,East Asia,1675,1700,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
