case_id,case_name,case_type,region,period_start,period_end,time_window_years,phase_label,collapse_outcome,collapse_within_next_window,political_fragmentation,elite_conflict,succession_crisis,legitimacy_crisis,administrative_overload,corruption_governance_failure,social_inequality,social_unrest_rebellion,demographic_pressure,migration_pressure,ethnic_sectarian_fragmentation,urban_decline,fiscal_crisis,taxation_extraction_pressure,trade_disruption,inflation_currency_instability,resource_dependency,agricultural_decline,drought_climate_stress,flood_environmental_shock,temperature_anomaly,ecological_degradation,food_insecurity,external_invasion_pressure,civil_war_internal_conflict,military_overstretch,territorial_loss,institutional_rigidity,adaptive_capacity,logistics_food_storage_resilience,alliance_network_strength,recovery_capacity,data_confidence,source_count,notes
sassanian_500_525,Sassanian Empire,ancient,Middle East,500,525,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sassanian_525_550,Sassanian Empire,ancient,Middle East,525,550,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sassanian_550_575,Sassanian Empire,ancient,Middle East,550,575,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sassanian_575_600,Sassanian Empire,ancient,Middle East,575,600,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sassanian_600_625,Sassanian Empire,ancient,Middle East,600,625,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sassanian_625_650,Sassanian Empire,ancient,Middle East,625,650,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sassanian_650_651,Sassanian Empire,ancient,Middle East,650,651,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
